query,time,httpCalls,dataTransfer,nbResults,state
shop_query-1,1.8e+06,295526,215159405,0,interrupted
shop_query-2,1.8e+06,303508,216836701,0,interrupted
shop_query-3,1.8e+06,302113,215462203,0,interrupted
shop_query-4,1.8e+06,296873,224116211,0,interrupted
shop_query-5,1.8e+06,302978,128988677,0,interrupted
shop_query-6,1.80001e+06,456354,267377058,0,interrupted
shop_query-7,1800000,303206,222103585,0,interrupted
shop_query-8,1.8e+06,295647,238806649,0,interrupted
shop_query-9,1800001,452755,266176647,0,interrupted
shop_query-10,1.8e+06,442338,265197918,0,interrupted
shop_query-11,1.8e+06,300097,216734425,0,interrupted
shop_query-12,274830,42947,20754696,7,complete
shop_query-13,1.8e+06,303106,216542891,0,interrupted
shop_query-14,281,15,6404,2,complete
shop_query-15,1.8e+06,298573,215780487,0,interrupted
shop_query-16,1.8e+06,318138,223046575,0,interrupted
shop_query-17,1800001,301015,216195587,0,interrupted
shop_query-18,1.8e+06,452897,268732442,0,interrupted
shop_query-19,1.8e+06,301773,215340378,0,interrupted
shop_query-20,965.928,127,73315,0,complete
shop_query-21,1800001,294991,214045483,0,interrupted
shop_query-22,1236,111,42277,0,complete
shop_query-23,1800001,316168,222474874,0,interrupted
shop_query-24,1.8e+06,314012,221956952,0,interrupted
shop_query-25,1.8e+06,302366,215549416,0,interrupted
shop_query-26,1.8e+06,294963,214977819,0,interrupted
shop_query-27,3877.89,586,228760,0,complete
shop_query-28,1800001,301674,216858858,0,interrupted
shop_query-29,1.8e+06,302742,217179260,0,interrupted
shop_query-30,1.8e+06,302071,222126394,0,interrupted
